,cidade_estado,endereco,lat_lon,latitude,longitude
867,"Redenção, Ceará","Redenção, CE, 62790-000, Brazil","(1.0673842, -50.700756)",1.0673842,-50.700756
868,"Redenção, Pará","Redenção - State of Pará, Brazil","(-8.0257338, -50.0322512)",-8.0257338,-50.0322512
869,"Registro, São Paulo","Registro, State of São Paulo, 11900-000, Brazil","(-24.5083421, -47.8493997)",-24.5083421,-47.8493997
870,"Remanso, Bahia","Remanso - State of Bahia, 47200-000, Brazil","(-9.6258547, -42.0861528)",-9.6258547,-42.0861528
871,"Resende, Rio de Janeiro","Resende - State of Rio de Janeiro, Brazil","(-22.4713608, -44.453408)",-22.4713608,-44.453408
872,"Riacho da cruz, Rio Grande do Norte","Riacho da Cruz, RN, 59820-000, Brazil","(-5.9352839, -37.9484374)",-5.9352839,-37.9484374
873,"Riacho de santana, Rio Grande do Norte","Riacho de Santana - State of Rio Grande do Norte, Brazil","(-6.2637914, -38.3134904)",-6.2637914,-38.3134904
874,"Riacho de santana, São Paulo","Rua Padre Otto Maria, 8 - Vila Diva, São Paulo - SP, 03573-000, Brazil","(-23.576348, -46.5524902)",-23.576348,-46.5524902
875,"Riacho dos cavalos, Paraíba","Riacho dos Cavalos - State of Paraíba, Brazil","(-6.436916999999999, -37.6514417)",-6.436916999999999,-37.6514417
876,"Riachuelo, Rio Grande do Norte","Riachuelo - State of Rio Grande do Norte, Brazil","(-5.811882, -35.8498078)",-5.811882,-35.8498078
877,"Ribeira do pombal, Bahia","Ribeira do Pombal - State of Bahia, 48400-000, Brazil","(-10.783171, -38.5270305)",-10.783171,-38.5270305
878,"Ribeiro gonçalves, Piauí","Ribeiro Gonçalves - State of Piauí, Brazil","(-7.5608698, -45.2429539)",-7.5608698,-45.2429539
879,"Ribeirão preto, São Paulo","Ribeirao Preto - Conquista, Ribeirão Preto - State of São Paulo, Brazil","(-21.1704008, -47.8103238)",-21.1704008,-47.8103238
880,"Ribeirão, Pernambuco","Ribeirão, PE, 55520-000, Brazil","(-8.5135139, -35.3747515)",-8.5135139,-35.3747515
881,"Rio branco, Acre","Rio Branco - State of Acre, Brazil","(-9.975337399999999, -68.42932139999999)",-9.975337399999999,-68.42932139999999
882,"Rio claro, São Paulo","Rio Claro, SP, Brazil","(-22.4149023, -47.5651394)",-22.4149023,-47.5651394
883,"Rio de janeiro, Não Informado","Rio de Janeiro, State of Rio de Janeiro, Brazil","(-22.9068467, -43.1728965)",-22.9068467,-43.1728965
884,"Rio de janeiro, Rio Grande do Norte","R. Morizot Leite, S/N - Sen. Vasconcelos, Rio de Janeiro - RJ, 23085-260, Brazil","(-22.896205, -43.542321)",-22.896205,-43.542321
885,"Rio de janeiro, Rio de Janeiro","Rio de Janeiro, State of Rio de Janeiro, Brazil","(-22.9068467, -43.1728965)",-22.9068467,-43.1728965
886,"Rio do fogo, Rio Grande do Norte","Rio do Fogo - State of Rio Grande do Norte, 59578-000, Brazil","(-5.3518694, -35.4219295)",-5.3518694,-35.4219295
887,"Rio grande, Rio Grande do Sul","Rio Grande - RS, Brazil","(-32.0395116, -52.101445)",-32.0395116,-52.101445
888,"Rio largo, Alagoas","Rio Largo - State of Alagoas, 57100-000, Brazil","(-9.477877699999999, -35.8369269)",-9.477877699999999,-35.8369269
889,"Rio real, Bahia","Rio Real - State of Bahia, Brazil","(-11.4817942, -37.9335929)",-11.4817942,-37.9335929
890,"Rio tinto, Paraíba","Rio Tinto - State of Paraíba, 58297-000, Brazil","(-6.791370199999999, -35.067874)",-6.791370199999999,-35.067874
891,"Rio verde, Goiás","Rio Verde - State of Goiás, Brazil","(-17.7927534, -50.9196306)",-17.7927534,-50.9196306
892,"Rio vermelho, Minas Gerais","Rio Vermelho - State of Minas Gerais, Brazil","(-18.2930855, -43.008159)",-18.2930855,-43.008159
893,"Rodolfo fernandes, Rio Grande do Norte","Rodolfo Fernandes - State of Rio Grande do Norte, Brazil","(-5.7881941, -38.060359)",-5.7881941,-38.060359
894,"Rolândia, Paraná","Rolândia, State of Paraná, 86600-000, Brazil","(-23.3160342, -51.3768221)",-23.3160342,-51.3768221
895,"Rondon do pará, Pará","Rondon do Pará - State of Pará, 68638-000, Brazil","(-4.7784039, -48.0673738)",-4.7784039,-48.0673738
896,"Rondonópolis, Mato Grosso","Rondonópolis - State of Mato Grosso, Brazil","(-16.465423, -54.6387934)",-16.465423,-54.6387934
897,"Rubiataba, Goiás","Rubiataba - State of Goiás, 76350-000, Brazil","(-15.1663831, -49.8054856)",-15.1663831,-49.8054856
